English,French,German,Spanish,Scottish
May I have some bread first,Puis-je avoir du pain d'abord ?,Kann ich zuerst etwas Brot haben?,¿Puedo tener un poco de pan primero?,Can I hae some breid first?
Why not touch some grass?,Pourquoi ne pas toucher un peu d'herbe ?,Warum nicht mal Gras anfassen?,¿Por qué no tocar un poco de césped?,Whit's for no touchin' some grass?
Have a coffee break!,Fais une pause café !,Mach eine Kaffeepause!,¡Tómate un descanso para un café!,Tak a coffee break!
Try reading it line by line to me,Essaie de me le lire ligne par ligne,"Versuch, es mir Zeile für Zeile vorzulesen",Intenta leerlo línea por línea para mí,Try readin' it line by line ta me
Have you missed a semicolon?,As-tu oublié un point-virgule ?,Hast du ein Semikolon vergessen?,¿Te has dejado un punto y coma?,Hae ye missed a semicolon?
Is there a typo?,Y a-t-il une faute de frappe ?,Gibt es einen Tippfehler?,¿Hay una errata?,Is there a typo?
Are your variables named correctly?,Tes variables sont-elles nommées correctement ?,Sind deine Variablen richtig benannt?,¿Tus variables tienen el nombre correcto?,Are yer variables named correctly?
Try adding print statements!,Essaie d'ajouter des instructions print !,"Versuch, Print-Anweisungen hinzuzufügen!",¡Intenta añadir instrucciones print!,Try addin' print statements!
Find a colleague to look at your code,Trouve un collègue pour regarder ton code,"Finde einen Kollegen, der sich deinen Code anschaut",Busca a un compañero para que mire tu código,Fynd a colleague tae luik at yer code
What do I know! I’m a duck!,Qu'est-ce que j'en sais ! Je suis un canard !,Was weiß ich schon! Ich bin eine Ente!,¡Qué voy a saber yo! ¡Soy un pato!,What dae I ken! I'm a duck!
Take a 5 minute break,Fais une pause de 5 minutes,Mach eine 5-Minuten-Pause,Tómate un descanso de 5 minutos,Tak a 5 minute break
Let’s circle back on this,Revenons là-dessus plus tard,Kehren wir später darauf zurück,Volvamos sobre esto más tarde,Let's circle back on this
Seeds please!,"Des graines, s'il vous plaît !",Samen bitte!,"¡Semillas, por favor!","Seds, please!"
That sounds hard,Ça a l'air difficile,Das klingt schwer,Eso suena difícil,That sounds ofay hard
I’m proud of you,Je suis fier/fière de toi,Ich bin stolz auf dich,Estoy orgulloso/a de ti,I'm proud o' ye
You’re doing your best,Tu fais de ton mieux,Du gibst dein Bestes,Estás haciendo lo mejor que puedes,Ye're daein' yer best
Keep working at it!,Continue à y travailler !,Mach weiter so!,¡Sigue trabajando en ello!,Keep workin' at it!
Let’s fix one issue at a time,Corrigeons un problème à la fois,Lass uns ein Problem nach dem anderen lösen,Arreglemos un problema a la vez,Let's fix wan issue at a time
"The pointer in my heart, it’s pointing at you","Le pointeur dans mon cœur, il pointe vers toi",Der Zeiger in meinem Herzen zeigt auf dich,El puntero de mi corazón apunta hacia ti,"The pointer in my hert, it's pointin' at ye"
How does one catch an exception like you xx,Comment attrape-t-on une exception comme toi xx,Wie fängt man eine Ausnahme wie dich xx,¿Cómo se captura una excepción como tú xx?,Hou dae ane catch an exception like ye xx
